Horticulture,Area,Year,Value,Flags
Total wine grapes (hectares),Bay of Plenty,As at June 30 2019,34,
Total wine grapes (hectares),Bay of Plenty,As at June 30 2020,45,
Total olives (hectares),Bay of Plenty,As at June 30 2002,96,
Total olives (hectares),Bay of Plenty,As at June 30 2007,56,
Total olives (hectares),Bay of Plenty,As at June 30 2009,114,
Total olives (hectares),Bay of Plenty,As at June 30 2012,42,
Total olives (hectares),Bay of Plenty,As at June 30 2014,,c
Total olives (hectares),Bay of Plenty,As at June 30 2017,26,
Total olives (hectares),Bay of Plenty,As at June 30 2019,,s
Total olives (hectares),Bay of Plenty,As at June 30 2020,9,
Total onions (hectares),Bay of Plenty,As at June 30 1994,11,
Total onions (hectares),Bay of Plenty,As at June 30 2002,50,
Total onions (hectares),Bay of Plenty,As at June 30 2012,,c
Total onions (hectares),Bay of Plenty,As at June 30 2014,,c
Total onions (hectares),Bay of Plenty,As at June 30 2017,0,
Total onions (hectares),Bay of Plenty,As at June 30 2019,0,
Total onions (hectares),Bay of Plenty,As at June 30 2020,1,
Total potatoes (hectares),Bay of Plenty,As at June 30 1994,71,
Total potatoes (hectares),Bay of Plenty,As at June 30 2002,139,
Total potatoes (hectares),Bay of Plenty,As at June 30 2011,2,
Total potatoes (hectares),Bay of Plenty,As at June 30 2012,,c
Total potatoes (hectares),Bay of Plenty,As at June 30 2014,,c
Total potatoes (hectares),Bay of Plenty,As at June 30 2017,0,
Total potatoes (hectares),Bay of Plenty,As at June 30 2019,0,
Total potatoes (hectares),Bay of Plenty,As at June 30 2020,9,
Total squash (hectares),Bay of Plenty,As at June 30 1994,525,
Total squash (hectares),Bay of Plenty,As at June 30 2003,45,
Total squash (hectares),Bay of Plenty,As at June 30 2012,,c
Total squash (hectares),Bay of Plenty,As at June 30 2014,,c
Total squash (hectares),Bay of Plenty,As at June 30 2017,0,
Total squash (hectares),Bay of Plenty,As at June 30 2019,0,
Total squash (hectares),Bay of Plenty,As at June 30 2020,0,
Total apples (hectares),Gisborne,As at June 30 1994,249,
Total apples (hectares),Gisborne,As at June 30 2002,280,
Total apples (hectares),Gisborne,As at June 30 2003,260,
Total apples (hectares),Gisborne,As at June 30 2005,256,
Total apples (hectares),Gisborne,As at June 30 2007,190,
Total apples (hectares),Gisborne,As at June 30 2009,116,
Total apples (hectares),Gisborne,As at June 30 2011,105,
Total apples (hectares),Gisborne,As at June 30 2012,110,
Total apples (hectares),Gisborne,As at June 30 2014,87,
Total apples (hectares),Gisborne,As at June 30 2017,186,
Total apples (hectares),Gisborne,As at June 30 2019,284,
Total apples (hectares),Gisborne,As at June 30 2020,310,
Total kiwifruit (hectares),Gisborne,As at June 30 1994,325,
Total kiwifruit (hectares),Gisborne,As at June 30 2002,295,
Total kiwifruit (hectares),Gisborne,As at June 30 2003,268,
Total kiwifruit (hectares),Gisborne,As at June 30 2005,272,
Total kiwifruit (hectares),Gisborne,As at June 30 2007,284,
Total kiwifruit (hectares),Gisborne,As at June 30 2009,273,
Total kiwifruit (hectares),Gisborne,As at June 30 2011,321,
Total kiwifruit (hectares),Gisborne,As at June 30 2012,326,
Total kiwifruit (hectares),Gisborne,As at June 30 2014,269,
Total kiwifruit (hectares),Gisborne,As at June 30 2017,282,
Total kiwifruit (hectares),Gisborne,As at June 30 2019,323,
Total kiwifruit (hectares),Gisborne,As at June 30 2020,384,
Total avocados (hectares),Gisborne,As at June 30 1994,47,
Total avocados (hectares),Gisborne,As at June 30 2002,57,
Total avocados (hectares),Gisborne,As at June 30 2003,61,
Total avocados (hectares),Gisborne,As at June 30 2007,58,
Total avocados (hectares),Gisborne,As at June 30 2009,59,
Total avocados (hectares),Gisborne,As at June 30 2011,65,
Total avocados (hectares),Gisborne,As at June 30 2012,60,
Total avocados (hectares),Gisborne,As at June 30 2014,59,
Total avocados (hectares),Gisborne,As at June 30 2017,48,
Total avocados (hectares),Gisborne,As at June 30 2019,46,
Total avocados (hectares),Gisborne,As at June 30 2020,48,
Total wine grapes (hectares),Gisborne,As at June 30 1994,1245,
Total wine grapes (hectares),Gisborne,As at June 30 2002,1743,
Total wine grapes (hectares),Gisborne,As at June 30 2003,1595,
Total wine grapes (hectares),Gisborne,As at June 30 2005,1718,
Total wine grapes (hectares),Gisborne,As at June 30 2007,1812,
Total wine grapes (hectares),Gisborne,As at June 30 2009,2217,
Total wine grapes (hectares),Gisborne,As at June 30 2011,1807,
Total wine grapes (hectares),Gisborne,As at June 30 2012,1685,
Total wine grapes (hectares),Gisborne,As at June 30 2014,1759,
Total wine grapes (hectares),Gisborne,As at June 30 2017,1245,
Total wine grapes (hectares),Gisborne,As at June 30 2019,1230,
Total wine grapes (hectares),Gisborne,As at June 30 2020,1256,
Total olives (hectares),Gisborne,As at June 30 2002,12,
Total olives (hectares),Gisborne,As at June 30 2003,18,
Total olives (hectares),Gisborne,As at June 30 2007,6,
Total olives (hectares),Gisborne,As at June 30 2009,18,
Total olives (hectares),Gisborne,As at June 30 2011,2,
Total olives (hectares),Gisborne,As at June 30 2012,,c
Total olives (hectares),Gisborne,As at June 30 2014,0,
Total olives (hectares),Gisborne,As at June 30 2017,,s
Total olives (hectares),Gisborne,As at June 30 2019,5,
Total olives (hectares),Gisborne,As at June 30 2020,44,
Total onions (hectares),Gisborne,As at June 30 1994,44,
Total onions (hectares),Gisborne,As at June 30 2002,22,
Total onions (hectares),Gisborne,As at June 30 2011,36,
Total onions (hectares),Gisborne,As at June 30 2012,,c
Total onions (hectares),Gisborne,As at June 30 2014,,c
Total onions (hectares),Gisborne,As at June 30 2017,,s
Total onions (hectares),Gisborne,As at June 30 2019,1,
Total onions (hectares),Gisborne,As at June 30 2020,0,
Total potatoes (hectares),Gisborne,As at June 30 1994,35,
Total potatoes (hectares),Gisborne,As at June 30 2003,4,
Total potatoes (hectares),Gisborne,As at June 30 2012,,c
Total potatoes (hectares),Gisborne,As at June 30 2014,,c
Total potatoes (hectares),Gisborne,As at June 30 2017,,s
Total potatoes (hectares),Gisborne,As at June 30 2019,3,
Total potatoes (hectares),Gisborne,As at June 30 2020,,s
Total squash (hectares),Gisborne,As at June 30 1994,1593,
Total squash (hectares),Gisborne,As at June 30 2002,2427,
Total squash (hectares),Gisborne,As at June 30 2003,2447,
Total squash (hectares),Gisborne,As at June 30 2005,2005,
Total squash (hectares),Gisborne,As at June 30 2007,2773,
Total squash (hectares),Gisborne,As at June 30 2009,1589,
Total squash (hectares),Gisborne,As at June 30 2011,2300,
Total squash (hectares),Gisborne,As at June 30 2012,2406,
Total squash (hectares),Gisborne,As at June 30 2014,2070,
Total squash (hectares),Gisborne,As at June 30 2017,1920,
Total squash (hectares),Gisborne,As at June 30 2019,2282,
Total squash (hectares),Gisborne,As at June 30 2020,2148,
Total apples (hectares),Hawkes Bay,As at June 30 1994,6179,
Total apples (hectares),Hawkes Bay,As at June 30 2002,5919,
Total apples (hectares),Hawkes Bay,As at June 30 2003,6396,
Total apples (hectares),Hawkes Bay,As at June 30 2005,6067,
Total apples (hectares),Hawkes Bay,As at June 30 2007,5206,
Total apples (hectares),Hawkes Bay,As at June 30 2009,5409,
Total apples (hectares),Hawkes Bay,As at June 30 2011,5135,
Total apples (hectares),Hawkes Bay,As at June 30 2012,5115,
Total apples (hectares),Hawkes Bay,As at June 30 2014,4859,
Total apples (hectares),Hawkes Bay,As at June 30 2017,4746,
Total apples (hectares),Hawkes Bay,As at June 30 2019,5854,
Total apples (hectares),Hawkes Bay,As at June 30 2020,6186,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 1994,303,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2002,189,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2003,267,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2005,220,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2007,220,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2009,240,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2011,205,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2012,222,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2014,250,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2017,121,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2019,147,
Total kiwifruit (hectares),Hawkes Bay,As at June 30 2020,166,
Total avocados (hectares),Hawkes Bay,As at June 30 1994,71,
Total avocados (hectares),Hawkes Bay,As at June 30 2002,30,
Total avocados (hectares),Hawkes Bay,As at June 30 2003,29,
Total avocados (hectares),Hawkes Bay,As at June 30 2005,31,
Total avocados (hectares),Hawkes Bay,As at June 30 2007,31,
Total avocados (hectares),Hawkes Bay,As at June 30 2011,28,
Total avocados (hectares),Hawkes Bay,As at June 30 2012,28,
Total avocados (hectares),Hawkes Bay,As at June 30 2014,50,
Total avocados (hectares),Hawkes Bay,As at June 30 2017,20,
Total avocados (hectares),Hawkes Bay,As at June 30 2019,,s
Total avocados (hectares),Hawkes Bay,As at June 30 2020,20,
Total wine grapes (hectares),Hawkes Bay,As at June 30 1994,1756,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2002,3835,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2003,4272,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2005,4487,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2007,4930,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2009,5328,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2011,4810,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2012,4936,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2014,4856,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2017,3616,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2019,3774,
Total wine grapes (hectares),Hawkes Bay,As at June 30 2020,3960,
Total olives (hectares),Hawkes Bay,As at June 30 2002,251,
Total olives (hectares),Hawkes Bay,As at June 30 2003,263,
Total olives (hectares),Hawkes Bay,As at June 30 2005,376,
Total olives (hectares),Hawkes Bay,As at June 30 2007,317,
Total olives (hectares),Hawkes Bay,As at June 30 2009,282,
Total olives (hectares),Hawkes Bay,As at June 30 2011,273,
Total olives (hectares),Hawkes Bay,As at June 30 2012,321,
Total olives (hectares),Hawkes Bay,As at June 30 2014,195,
Total olives (hectares),Hawkes Bay,As at June 30 2017,120,
Total olives (hectares),Hawkes Bay,As at June 30 2019,137,
Total olives (hectares),Hawkes Bay,As at June 30 2020,114,
Total onions (hectares),Hawkes Bay,As at June 30 1994,131,
Total onions (hectares),Hawkes Bay,As at June 30 2002,363,
Total onions (hectares),Hawkes Bay,As at June 30 2003,537,
Total onions (hectares),Hawkes Bay,As at June 30 2005,767,
Total onions (hectares),Hawkes Bay,As at June 30 2007,517,
Total onions (hectares),Hawkes Bay,As at June 30 2009,427,
Total onions (hectares),Hawkes Bay,As at June 30 2011,805,
Total onions (hectares),Hawkes Bay,As at June 30 2012,662,
Total onions (hectares),Hawkes Bay,As at June 30 2014,817,
Total onions (hectares),Hawkes Bay,As at June 30 2017,963,
Total onions (hectares),Hawkes Bay,As at June 30 2019,933,
Total onions (hectares),Hawkes Bay,As at June 30 2020,868,
Total potatoes (hectares),Hawkes Bay,As at June 30 1994,324,
Total potatoes (hectares),Hawkes Bay,As at June 30 2002,641,
Total potatoes (hectares),Hawkes Bay,As at June 30 2003,585,
Total potatoes (hectares),Hawkes Bay,As at June 30 2005,899,
Total potatoes (hectares),Hawkes Bay,As at June 30 2007,491,
Total potatoes (hectares),Hawkes Bay,As at June 30 2009,1031,
Total potatoes (hectares),Hawkes Bay,As at June 30 2011,419,
Total potatoes (hectares),Hawkes Bay,As at June 30 2012,589,
Total potatoes (hectares),Hawkes Bay,As at June 30 2014,268,
Total potatoes (hectares),Hawkes Bay,As at June 30 2017,236,
Total potatoes (hectares),Hawkes Bay,As at June 30 2019,72,
Total potatoes (hectares),Hawkes Bay,As at June 30 2020,85,
Total squash (hectares),Hawkes Bay,As at June 30 1994,2047,
Total squash (hectares),Hawkes Bay,As at June 30 2002,2795,
Total squash (hectares),Hawkes Bay,As at June 30 2003,2924,
Total squash (hectares),Hawkes Bay,As at June 30 2005,3635,
Total squash (hectares),Hawkes Bay,As at June 30 2007,3117,
Total squash (hectares),Hawkes Bay,As at June 30 2009,4191,
Total squash (hectares),Hawkes Bay,As at June 30 2011,3152,
Total squash (hectares),Hawkes Bay,As at June 30 2012,3248,
Total squash (hectares),Hawkes Bay,As at June 30 2014,3257,
Total squash (hectares),Hawkes Bay,As at June 30 2017,3388,
Total squash (hectares),Hawkes Bay,As at June 30 2019,4306,
Total squash (hectares),Hawkes Bay,As at June 30 2020,4754,
Total apples (hectares),Taranaki,As at June 30 1994,21,
Total apples (hectares),Taranaki,As at June 30 2002,9,
Total apples (hectares),Taranaki,As at June 30 2007,1,
Total apples (hectares),Taranaki,As at June 30 2012,,c
Total apples (hectares),Taranaki,As at June 30 2014,,c
Total apples (hectares),Taranaki,As at June 30 2017,3,
Total apples (hectares),Taranaki,As at June 30 2019,3,
Total apples (hectares),Taranaki,As at June 30 2020,7,
Total kiwifruit (hectares),Taranaki,As at June 30 1994,60,
Total kiwifruit (hectares),Taranaki,As at June 30 2002,47,
Total kiwifruit (hectares),Taranaki,As at June 30 2003,39,
Total kiwifruit (hectares),Taranaki,As at June 30 2012,0,
Total kiwifruit (hectares),Taranaki,As at June 30 2014,,c
Total kiwifruit (hectares),Taranaki,As at June 30 2017,,s
Total kiwifruit (hectares),Taranaki,As at June 30 2019,2,
Total kiwifruit (hectares),Taranaki,As at June 30 2020,,s
Total avocados (hectares),Taranaki,As at June 30 1994,24,
Total avocados (hectares),Taranaki,As at June 30 2002,52,
Total avocados (hectares),Taranaki,As at June 30 2003,49,
Total avocados (hectares),Taranaki,As at June 30 2007,68,
Total avocados (hectares),Taranaki,As at June 30 2009,59,
Total avocados (hectares),Taranaki,As at June 30 2011,68,
Total avocados (hectares),Taranaki,As at June 30 2012,62,
Total avocados (hectares),Taranaki,As at June 30 2014,48,
Total avocados (hectares),Taranaki,As at June 30 2017,23,
Total avocados (hectares),Taranaki,As at June 30 2019,26,
Total avocados (hectares),Taranaki,As at June 30 2020,17,
Total wine grapes (hectares),Taranaki,As at June 30 2012,,c
Total wine grapes (hectares),Taranaki,As at June 30 2014,0,
Total wine grapes (hectares),Taranaki,As at June 30 2017,,s
Total wine grapes (hectares),Taranaki,As at June 30 2019,,s
Total wine grapes (hectares),Taranaki,As at June 30 2020,0,
Total olives (hectares),Taranaki,As at June 30 2002,12,
Total olives (hectares),Taranaki,As at June 30 2003,10,
Total olives (hectares),Taranaki,As at June 30 2012,,c
Total olives (hectares),Taranaki,As at June 30 2014,,c
Total olives (hectares),Taranaki,As at June 30 2017,,s
Total olives (hectares),Taranaki,As at June 30 2019,0,
Total olives (hectares),Taranaki,As at June 30 2020,0,
Total onions (hectares),Taranaki,As at June 30 1994,2,
Total onions (hectares),Taranaki,As at June 30 2012,,c
Total onions (hectares),Taranaki,As at June 30 2014,0,
Total onions (hectares),Taranaki,As at June 30 2017,0,
Total onions (hectares),Taranaki,As at June 30 2019,,s
Total onions (hectares),Taranaki,As at June 30 2020,0,
Total potatoes (hectares),Taranaki,As at June 30 1994,36,
Total potatoes (hectares),Taranaki,As at June 30 2002,46,
Total potatoes (hectares),Taranaki,As at June 30 2003,37,
Total potatoes (hectares),Taranaki,As at June 30 2007,18,
Total potatoes (hectares),Taranaki,As at June 30 2012,23,
Total potatoes (hectares),Taranaki,As at June 30 2014,15,
Total potatoes (hectares),Taranaki,As at June 30 2017,10,
Total potatoes (hectares),Taranaki,As at June 30 2019,41,
Total potatoes (hectares),Taranaki,As at June 30 2020,,s
Total squash (hectares),Taranaki,As at June 30 2012,,c
Total squash (hectares),Taranaki,As at June 30 2014,0,
Total squash (hectares),Taranaki,As at June 30 2017,0,
Total squash (hectares),Taranaki,As at June 30 2019,0,
Total squash (hectares),Taranaki,As at June 30 2020,0,
Total apples (hectares),Manawatu-Wanganui,As at June 30 1994,136,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2002,44,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2005,40,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2007,35,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2009,24,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2011,20,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2012,34,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2014,25,
Total apples (hectares),Manawatu-Wanganui,As at June 30 2017,,s
Total apples (hectares),Manawatu-Wanganui,As at June 30 2019,,s
Total apples (hectares),Manawatu-Wanganui,As at June 30 2020,28,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 1994,317,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2002,146,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2003,138,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2007,138,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2009,141,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2012,,c
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2014,149,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2017,116,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2019,221,
Total kiwifruit (hectares),Manawatu-Wanganui,As at June 30 2020,,s
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2007,19,
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2012,22,
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2014,,c
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2017,3,
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2019,,s
Total avocados (hectares),Manawatu-Wanganui,As at June 30 2020,1,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2007,10,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2009,15,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2012,8,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2014,,c
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2017,88,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2019,32,
Total wine grapes (hectares),Manawatu-Wanganui,As at June 30 2020,32,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2002,52,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2009,37,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2011,44,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2012,43,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2014,38,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2017,34,
Total olives (hectares),Manawatu-Wanganui,As at June 30 2019,,s
Total olives (hectares),Manawatu-Wanganui,As at June 30 2020,,s
Total onions (hectares),Manawatu-Wanganui,As at June 30 1994,95,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2002,335,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2003,532,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2005,222,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2007,319,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2011,281,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2012,392,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2014,377,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2017,281,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2019,143,
Total onions (hectares),Manawatu-Wanganui,As at June 30 2020,166,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 1994,2628,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2002,2267,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2003,1994,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2005,1873,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2007,1578,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2011,1214,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2012,1260,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2014,1263,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2017,984,
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2019,,s
Total potatoes (hectares),Manawatu-Wanganui,As at June 30 2020,,s
Total squash (hectares),Manawatu-Wanganui,As at June 30 1994,305,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2002,685,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2003,621,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2007,841,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2011,88,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2012,241,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2014,,s
Total squash (hectares),Manawatu-Wanganui,As at June 30 2017,6,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2019,14,
Total squash (hectares),Manawatu-Wanganui,As at June 30 2020,30,
Total apples (hectares),Wellington,As at June 30 1994,299,
Total apples (hectares),Wellington,As at June 30 2002,329,
Total apples (hectares),Wellington,As at June 30 2003,249,
Total apples (hectares),Wellington,As at June 30 2005,179,
Total apples (hectares),Wellington,As at June 30 2007,127,
Total apples (hectares),Wellington,As at June 30 2009,109,
Total apples (hectares),Wellington,As at June 30 2012,,c
Total apples (hectares),Wellington,As at June 30 2014,,c
Total apples (hectares),Wellington,As at June 30 2017,102,
Total apples (hectares),Wellington,As at June 30 2019,101,
Total apples (hectares),Wellington,As at June 30 2020,110,
Total kiwifruit (hectares),Wellington,As at June 30 1994,83,
Total kiwifruit (hectares),Wellington,As at June 30 2002,38,
Total kiwifruit (hectares),Wellington,As at June 30 2003,13,
Total kiwifruit (hectares),Wellington,As at June 30 2012,,c
Total kiwifruit (hectares),Wellington,As at June 30 2014,,c
Total kiwifruit (hectares),Wellington,As at June 30 2017,10,
Total kiwifruit (hectares),Wellington,As at June 30 2019,56,
Total kiwifruit (hectares),Wellington,As at June 30 2020,53,
Total avocados (hectares),Wellington,As at June 30 2007,8,
Total avocados (hectares),Wellington,As at June 30 2011,30,
Total avocados (hectares),Wellington,As at June 30 2012,16,
Total avocados (hectares),Wellington,As at June 30 2014,,c
Total avocados (hectares),Wellington,As at June 30 2017,8,
Total avocados (hectares),Wellington,As at June 30 2019,8,
Total avocados (hectares),Wellington,As at June 30 2020,7,
Total wine grapes (hectares),Wellington,As at June 30 1994,175,
Total wine grapes (hectares),Wellington,As at June 30 2002,801,
Total wine grapes (hectares),Wellington,As at June 30 2003,915,
Total wine grapes (hectares),Wellington,As at June 30 2005,829,
Total wine grapes (hectares),Wellington,As at June 30 2007,860,
Total wine grapes (hectares),Wellington,As at June 30 2009,924,
Total wine grapes (hectares),Wellington,As at June 30 2011,849,
Total wine grapes (hectares),Wellington,As at June 30 2012,895,
Total wine grapes (hectares),Wellington,As at June 30 2014,865,
Total wine grapes (hectares),Wellington,As at June 30 2017,832,
Total wine grapes (hectares),Wellington,As at June 30 2019,820,
Total wine grapes (hectares),Wellington,As at June 30 2020,985,
Total olives (hectares),Wellington,As at June 30 2002,272,
Total olives (hectares),Wellington,As at June 30 2003,313,
Total olives (hectares),Wellington,As at June 30 2005,284,
Total olives (hectares),Wellington,As at June 30 2007,254,
Total olives (hectares),Wellington,As at June 30 2011,222,
Total olives (hectares),Wellington,As at June 30 2012,216,
Total olives (hectares),Wellington,As at June 30 2014,215,
Total olives (hectares),Wellington,As at June 30 2017,181,
Total olives (hectares),Wellington,As at June 30 2019,166,
Total olives (hectares),Wellington,As at June 30 2020,194,
Total onions (hectares),Wellington,As at June 30 1994,14,
Total onions (hectares),Wellington,As at June 30 2009,11,
Total onions (hectares),Wellington,As at June 30 2011,12,
Total onions (hectares),Wellington,As at June 30 2012,,c
Total onions (hectares),Wellington,As at June 30 2014,,c
Total onions (hectares),Wellington,As at June 30 2017,1,
Total onions (hectares),Wellington,As at June 30 2019,,s
Total onions (hectares),Wellington,As at June 30 2020,6,
Total potatoes (hectares),Wellington,As at June 30 1994,94,
Total potatoes (hectares),Wellington,As at June 30 2002,57,
Total potatoes (hectares),Wellington,As at June 30 2011,17,
Total potatoes (hectares),Wellington,As at June 30 2012,19,
Total potatoes (hectares),Wellington,As at June 30 2014,,s
Total potatoes (hectares),Wellington,As at June 30 2017,2,
Total potatoes (hectares),Wellington,As at June 30 2019,,s
Total potatoes (hectares),Wellington,As at June 30 2020,,s
Total squash (hectares),Wellington,As at June 30 1994,11,
Total squash (hectares),Wellington,As at June 30 2002,39,
Total squash (hectares),Wellington,As at June 30 2012,,c
Total squash (hectares),Wellington,As at June 30 2014,,c
Total squash (hectares),Wellington,As at June 30 2017,1,
Total squash (hectares),Wellington,As at June 30 2019,11,
Total squash (hectares),Wellington,As at June 30 2020,32,
Total apples (hectares),Total South Island,As at June 30 1994,6844,
Total apples (hectares),Total South Island,As at June 30 2002,4384,
Total apples (hectares),Total South Island,As at June 30 2003,4562,
Total apples (hectares),Total South Island,As at June 30 2005,3904,
Total apples (hectares),Total South Island,As at June 30 2007,3244,
Total apples (hectares),Total South Island,As at June 30 2009,3229,
Total apples (hectares),Total South Island,As at June 30 2011,3260,
Total apples (hectares),Total South Island,As at June 30 2012,3224,
Total apples (hectares),Total South Island,As at June 30 2014,3006,
Total apples (hectares),Total South Island,As at June 30 2017,3187,
Total apples (hectares),Total South Island,As at June 30 2019,3242,
Total apples (hectares),Total South Island,As at June 30 2020,2924,
Total kiwifruit (hectares),Total South Island,As at June 30 1994,844,
Total kiwifruit (hectares),Total South Island,As at June 30 2002,635,
Total kiwifruit (hectares),Total South Island,As at June 30 2003,664,
Total kiwifruit (hectares),Total South Island,As at June 30 2005,754,
Total kiwifruit (hectares),Total South Island,As at June 30 2007,618,
Total kiwifruit (hectares),Total South Island,As at June 30 2009,635,
Total kiwifruit (hectares),Total South Island,As at June 30 2011,562,
Total kiwifruit (hectares),Total South Island,As at June 30 2012,501,
Total kiwifruit (hectares),Total South Island,As at June 30 2014,558,
Total kiwifruit (hectares),Total South Island,As at June 30 2017,487,
Total kiwifruit (hectares),Total South Island,As at June 30 2019,461,
Total kiwifruit (hectares),Total South Island,As at June 30 2020,608,
Total avocados (hectares),Total South Island,As at June 30 1994,21,
Total avocados (hectares),Total South Island,As at June 30 2002,26,
Total avocados (hectares),Total South Island,As at June 30 2005,28,
Total avocados (hectares),Total South Island,As at June 30 2007,11,
Total avocados (hectares),Total South Island,As at June 30 2009,13,
Total avocados (hectares),Total South Island,As at June 30 2012,9,
Total avocados (hectares),Total South Island,As at June 30 2014,11,
Total avocados (hectares),Total South Island,As at June 30 2017,15,
Total avocados (hectares),Total South Island,As at June 30 2019,35,
Total avocados (hectares),Total South Island,As at June 30 2020,45,
Total wine grapes (hectares),Total South Island,As at June 30 1994,3522,
Total wine grapes (hectares),Total South Island,As at June 30 2002,9888,
Total wine grapes (hectares),Total South Island,As at June 30 2003,11850,
Total wine grapes (hectares),Total South Island,As at June 30 2005,16906,
Total wine grapes (hectares),Total South Island,As at June 30 2007,21313,
Total wine grapes (hectares),Total South Island,As at June 30 2009,24362,
Total wine grapes (hectares),Total South Island,As at June 30 2011,25723,
Total wine grapes (hectares),Total South Island,As at June 30 2012,26613,
Total wine grapes (hectares),Total South Island,As at June 30 2014,25249,
Total wine grapes (hectares),Total South Island,As at June 30 2017,27005,
Total wine grapes (hectares),Total South Island,As at June 30 2019,29689,
Total wine grapes (hectares),Total South Island,As at June 30 2020,28997,
Total olives (hectares),Total South Island,As at June 30 2002,1388,
Total olives (hectares),Total South Island,As at June 30 2003,1435,
Total olives (hectares),Total South Island,As at June 30 2005,1015,
Total olives (hectares),Total South Island,As at June 30 2007,891,
